date	Temp
2019-01-16	8.4
2019-01-17	5.5
2019-01-18	8.3
2019-01-19	8.1
2019-01-20	7.2
2019-01-21	6.6
2019-01-22	4.6
2019-01-23	8.8
2019-01-24	10.7
2019-01-25	10.6
2019-01-26	9.5
2019-01-27	6.4
2019-01-28	6.3
2019-01-29	4.0
2019-01-30	3.4
2019-01-31	6.4
2019-02-01	4.1
2019-02-02	5.9
2019-02-03	9.3
2019-02-04	10.6
2019-02-05	10.9
2019-02-06	9.8
2019-02-07	8.8
2019-02-08	9.9
2019-02-09	8.0
2019-02-10	6.9
2019-02-11	10.0
2019-02-12	10.1
2019-02-13	9.6
2019-02-14	8.9
2019-02-15	10.7
2019-02-16	10.2
2019-02-17	9.9
2019-02-18	9.6
2019-02-19	9.2
2019-02-20	10.7
2019-02-21	11.1
2019-02-22	11.1
2019-02-23	13.5
2019-02-24	9.4
2019-02-25	11.4
2019-02-26	12.4
2019-02-27	9.0
2019-02-28	12.7
2019-03-01	10.1
2019-03-02	10.6
2019-03-03	9.3
2019-03-04	7.9
2019-03-05	10.0
2019-03-06	9.8
2019-03-07	10.4
2019-03-08	12.9
2019-03-09	9.6
2019-03-10	9.0
2019-03-11	10.3
2019-03-12	10.2
2019-03-13	9.2
2019-03-14	12.3
2019-03-15	11.4
2019-03-16	10.4
2019-03-17	9.4
2019-03-18	9.8
2019-03-19	16.8
2019-03-20	13.7
2019-03-21	11.4
2019-03-22	10.5
2019-03-23	9.1
2019-03-24	10.1
2019-03-25	13.1
2019-03-26	12.5
2019-03-27	13.1
2019-03-28	11.5
2019-03-29	11.5
2019-03-30	11.9
2019-03-31	11.9
2019-04-01	10.9
2019-04-02	5.9
2019-04-03	8.0
2019-04-04	8.7
2019-04-05	9.7
2019-04-06	11.2
2019-04-07	11.7
2019-04-08	11.9
2019-04-09	11.2
2019-04-10	10.6
2019-04-11	11.1
2019-04-12	9.8
2019-04-13	8.6
2019-04-14	6.1
2019-04-15	8.3
2019-04-16	12.4
2019-04-17	12.6
2019-04-18	15.1
2019-04-19	17.7
2019-04-20	19.1
2019-04-21	13.6
